1: 230.864166, 230.864166 avg, 0.000000 rate, 7.787954 seconds, 64 images
2: 226.592651, 230.437012 avg, 0.000000 rate, 7.859138 seconds, 128 images
3: 234.698517, 230.863159 avg, 0.000000 rate, 7.874263 seconds, 192 images
4: 228.277115, 230.604553 avg, 0.000000 rate, 7.898611 seconds, 256 images
5: 230.911667, 230.635269 avg, 0.000000 rate, 7.907798 seconds, 320 images
6: 227.937912, 230.365540 avg, 0.000000 rate, 7.882635 seconds, 384 images
7: 234.111755, 230.740158 avg, 0.000000 rate, 7.903424 seconds, 448 images
8: 227.573761, 230.423523 avg, 0.000000 rate, 7.897694 seconds, 512 images
9: 231.741287, 230.555298 avg, 0.000000 rate, 7.886080 seconds, 576 images
10: 223.567444, 229.856506 avg, 0.000000 rate, 7.890296 seconds, 640 images
11: 142.262360, 221.097092 avg, 0.000000 rate, 4.647115 seconds, 704 images
12: 140.897491, 213.077133 avg, 0.000000 rate, 4.844996 seconds, 768 images
13: 142.324799, 206.001907 avg, 0.000000 rate, 4.853912 seconds, 832 images
14: 142.940430, 199.695755 avg, 0.000000 rate, 4.851554 seconds, 896 images
15: 141.931061, 193.919281 avg, 0.000000 rate, 4.851120 seconds, 960 images
16: 141.121796, 188.639526 avg, 0.000000 rate, 4.851686 seconds, 1024 images
17: 144.944550, 184.270035 avg, 0.000000 rate, 4.876026 seconds, 1088 images
18: 137.415604, 179.584595 avg, 0.000000 rate, 4.859619 seconds, 1152 images
19: 138.405289, 175.466660 avg, 0.000000 rate, 4.865382 seconds, 1216 images
20: 140.060959, 171.926086 avg, 0.000000 rate, 4.860530 seconds, 1280 images
21: 142.588455, 168.992325 avg, 0.000000 rate, 4.646538 seconds, 1344 images
22: 143.864960, 166.479584 avg, 0.000000 rate, 4.851762 seconds, 1408 images
23: 142.894257, 164.121048 avg, 0.000000 rate, 4.857018 seconds, 1472 images
24: 139.320557, 161.640991 avg, 0.000000 rate, 4.851238 seconds, 1536 images
25: 141.440826, 159.620972 avg, 0.000000 rate, 4.854194 seconds, 1600 images
26: 139.250778, 157.583954 avg, 0.000000 rate, 4.854867 seconds, 1664 images
27: 142.885284, 156.114090 avg, 0.000000 rate, 4.854336 seconds, 1728 images
28: 144.997620, 155.002441 avg, 0.000000 rate, 4.856249 seconds, 1792 images
29: 143.151718, 153.817368 avg, 0.000000 rate, 4.854082 seconds, 1856 images
30: 139.510376, 152.386673 avg, 0.000000 rate, 4.850430 seconds, 1920 images
31: 139.200592, 151.068069 avg, 0.000000 rate, 4.648428 seconds, 1984 images
32: 138.103943, 149.771652 avg, 0.000000 rate, 4.851785 seconds, 2048 images
33: 142.733521, 149.067841 avg, 0.000000 rate, 4.853680 seconds, 2112 images
34: 144.485687, 148.609619 avg, 0.000000 rate, 4.852433 seconds, 2176 images
35: 140.733353, 147.821991 avg, 0.000000 rate, 4.848087 seconds, 2240 images
36: 140.459442, 147.085739 avg, 0.000000 rate, 4.849766 seconds, 2304 images
37: 141.260330, 146.503204 avg, 0.000000 rate, 4.846271 seconds, 2368 images
38: 140.622040, 145.915085 avg, 0.000000 rate, 4.848971 seconds, 2432 images
39: 141.288528, 145.452423 avg, 0.000000 rate, 4.849079 seconds, 2496 images
40: 141.488571, 145.056030 avg, 0.000000 rate, 4.854121 seconds, 2560 images
41: 265.851532, 157.135574 avg, 0.000000 rate, 8.229393 seconds, 2624 images
42: 261.207031, 167.542725 avg, 0.000000 rate, 8.555173 seconds, 2688 images
43: 263.030518, 177.091507 avg, 0.000000 rate, 8.578040 seconds, 2752 images
44: 270.102692, 186.392624 avg, 0.000000 rate, 8.590925 seconds, 2816 images
45: 264.590973, 194.212463 avg, 0.000000 rate, 8.703238 seconds, 2880 images
46: 267.633942, 201.554611 avg, 0.000000 rate, 8.846348 seconds, 2944 images
47: 266.899658, 208.089111 avg, 0.000000 rate, 8.643668 seconds, 3008 images
48: 263.337494, 213.613953 avg, 0.000000 rate, 8.791338 seconds, 3072 images
49: 259.328766, 218.185440 avg, 0.000000 rate, 8.579610 seconds, 3136 images
50: 264.277588, 222.794647 avg, 0.000000 rate, 8.626291 seconds, 3200 images
51: 197.477692, 220.262955 avg, 0.000000 rate, 6.539567 seconds, 3264 images
52: 198.075882, 218.044250 avg, 0.000000 rate, 6.759620 seconds, 3328 images
53: 199.791290, 216.218948 avg, 0.000000 rate, 6.780210 seconds, 3392 images
54: 197.970413, 214.394089 avg, 0.000000 rate, 6.767205 seconds, 3456 images
55: 198.307007, 212.785385 avg, 0.000000 rate, 6.755608 seconds, 3520 images
56: 197.044296, 211.211273 avg, 0.000000 rate, 6.765186 seconds, 3584 images
